unidade;ano;mes;giro_de_leitos;iisl
CHPB;2022;1;0,15171288743882544;73,91666666666664
CHPB;2022;2;0,17758985200845667;50,185185185185176
CHPB;2022;3;0,1934477379095164;14,041666666666664
CHPB;2022;4;0,3058760397102227;8,763157894736842
CHPB;2022;5;0,29369234604836697;17,97368421052631
CHPB;2022;6;0,3422920892494929;23,688888888888897
CHPB;2022;7;0,2980769230769231;31,025000000000006
CHPB;2022;8;0,3013772616797191;15,694444444444445
CHPB;2022;9;0,334841628959276;8,432432432432428
CHPB;2022;10;0,3546494573188618;4,6666666666666705
CHPB;2022;11;0,42727272727272725;9,340425531914896
CHPB;2022;12;0,37383177570093457;12,074999999999996
CHPB;2023;1;0,38271604938271603;10,682926829268292
CHPB;2023;2;0,36387870709763415;5,9487179487179525
CHPB;2023;3;0,4980719794344473;4,040000000000004
CHPB;2023;4;0,4280397022332506;12,84782608695652
CHPB;2023;5;0,5482613908872902;9,169491525423728
CHPB;2023;6;0,4377522508537721;8,553191489361698
CHPB;2023;7;0,48345003182686186;4,734693877551023
CHPB;2023;8;0,4392914653784219;10,909090909090907
CHPB;2023;9;0,3315472203616879;8,000000000000002
CHPB;2023;10;0,499194847020934;8,52
CHPB;2023;11;0,35785288270377735;9,527777777777784
CHPB;2023;12;0,4798452112221864;12,666666666666664
CHPB;2024;1;0,4191886670959433;18,309523809523803
CHPB;2024;2;0,5475454857535187;11,436363636363634
CHPB;2024;3;0,3527308192457737;17,657142857142855
CHPB;2024;4;0,499151103565365;7,7142857142857135
CHPB;2024;5;0,4171316048572366;9,73170731707317
CHPB;2024;6;0,4218443427076521;12,627906976744185
CHPB;2024;7;0,46534653465346537;13,382978723404255
CHPB;2024;8;0,4301387544369151;15,627906976744189
CHPB;2024;9;0,45454545454545453;11,733333333333336
CHPB;2024;10;0,5656565656565656;12,696428571428573
CHPB;2024;11;0,47474747474747475;13,531914893617024
CHPB;2024;12;0,5860696517412936;12,596491228070176
CHPB;2025;1;0,4590973201692525;16,5952380952381
CHPB;2025;2;0,4777777777777778;8,162790697674415
CHPB;2025;3;0,5446396557906059;7,428571428571427
CHPB;2025;4;0,5993215228043725;12,905660377358492
CHPB;2025;5;0,536055923473142;15,851063829787236
CHPB;2025;6;0,6363285769379098;7,999999999999998
CHPB;2025;7;0,4883720930232558;16,404761904761905
CHPB;2025;8;0,5411764705882353;11,804347826086955
CHPB;2025;9;0,36231884057971014;21,899999999999995
CHPB;2025;10;0,581081081081081;5,116279069767441
CHPB;2025;11;0,44594594594594594;7,151515151515154
CHPB;2025;12;0,5405405405405406;9,05
CSSFA;2022;1;0,41509433962264153;29,772727272727263
CSSFA;2022;2;0,24528301886792453;41,769230769230774
CSSFA;2022;3;0,4339622641509434;18,869565217391308
CSSFA;2022;4;0,5660377358490566;16,700000000000003
CSSFA;2022;5;0,37735849056603776;18,700000000000003
CSSFA;2022;6;0,49056603773584906;10,69230769230769
CSSFA;2022;7;0,6037735849056604;8,281249999999998
CSSFA;2022;8;0,4339622641509434;5,56521739130435
CSSFA;2022;9;0,5094339622641509;5,11111111111111
CSSFA;2022;10;0,4339622641509434;14,043478260869568
CSSFA;2022;11;0,4339622641509434;22,086956521739133
CSSFA;2022;12;0,5094339622641509;20,0
CSSFA;2023;1;0,24528301886792453;34,23076923076924
CSSFA;2023;2;0,2635294117647059;16,000000000000007
CSSFA;2023;3;0,8399014778325123;5,363636363636363
CSSFA;2023;4;0,42857142857142855;19,27777777777778
CSSFA;2023;5;0,38360402165506574;14,499999999999995
CSSFA;2023;6;0,5128205128205128;8,250000000000004
CSSFA;2023;7;0,41025641025641024;3,5625
CSSFA;2023;8;0,5641025641025641;7,7727272727272725
CSSFA;2023;9;0,4358974358974359;7,588235294117651
CSSFA;2023;10;0,6153846153846154;9,458333333333332
CSSFA;2023;11;0,28550512445095166;36,07692307692308
CSSFA;2023;12;0,3699748743718593;32,31578947368421
CSSFA;2024;1;0,28;34,28571428571429
CSSFA;2024;2;0,2;25,600000000000012
CSSFA;2024;3;0,5996131528046421;2,5333333333333354
CSSFA;2024;4;0,47968021319120585;6,083333333333337
CSSFA;2024;5;0,48;15,166666666666668
CSSFA;2024;6;0,24;21,500000000000004
CSSFA;2024;7;0,44;6,045454545454546
CSSFA;2024;8;0,6990979381443299;4,885714285714287
CSSFA;2024;9;0,4;8,750000000000002
CSSFA;2024;10;0,56;6,035714285714284
CSSFA;2024;11;0,38;14,052631578947372
CSSFA;2024;12;0,4;13,399999999999995
CSSFA;2025;1;0,42;18,142857142857146
CSSFA;2025;2;0,3901639344262295;15,411764705882351
CSSFA;2025;3;0,325;3,230769230769226
CSSFA;2025;4;0,45;4,055555555555553
CSSFA;2025;5;0,4293002915451895;2,736842105263158
CSSFA;2025;6;0,34;5,176470588235293
CSSFA;2025;7;0,39974210186976145;2,4000000000000026
CSSFA;2025;8;0,526797385620915;5,3461538461538485
CSSFA;2025;9;0,34856700232378;3,066666666666671
CSSFA;2025;10;0,37209302325581395;8,3125
CSSFA;2025;11;0,4418604651162791;10,684210526315788
CSSFA;2025;12;0,4186046511627907;9,444444444444445
CSSI;2022;1;2,1194165907019142;7,106666666666667
CSSI;2022;2;2,220149253731343;5,941176470588236
CSSI;2022;3;1,7376116978066614;7,507246376811595
CSSI;2022;4;2,375;3,021052631578947
CSSI;2022;5;1,8;6,01388888888889
CSSI;2022;6;1,825;4,917808219178082
CSSI;2022;7;1,875;5,5600000000000005
CSSI;2022;8;1,875;5,106666666666666
CSSI;2022;9;2,125;4,894117647058823
CSSI;2022;10;1,825;5,739726027397261
CSSI;2022;11;1,8;5,291666666666667
CSSI;2022;12;1,525;8,032786885245901
CSSI;2023;1;1,675;6,029850746268656
CSSI;2023;2;1,55;6,258064516129033
CSSI;2023;3;1,9016806722689075;4,506849315068494
CSSI;2023;4;1,8048780487804879;4,121621621621621
CSSI;2023;5;1,646875;4,911764705882354
CSSI;2023;6;1,781954887218045;4,89873417721519
CSSI;2023;7;1,6521739130434783;7,105263157894737
CSSI;2023;8;1,7391304347826086;5,2125
CSSI;2023;9;1,7478260869565216;1,5671641791044781
CSSI;2023;11;4,793814432989691;-12,258064516129032
CSSI;2023;12;1,7964959568733154;4,430232558139535
CSSI;2024;1;1,5658703071672355;3,310810810810811
CSSI;2024;2;2,1124469589816126;1,9999999999999996
CSSI;2024;3;2,081781914893617;1,316831683168317
CSSI;2024;4;1,903448275862069;1,67391304347826
CSSI;2024;5;2,029987760097919;3,028037383177569
CSSI;2024;6;1,626733921815889;3,7441860465116283
CSSI;2024;7;1,5450479233226837;3,3589743589743577
CSSI;2024;8;1,7353689567430026;2,2840909090909083
CSSI;2024;9;1,4790139906728847;4,472972972972973
CSSI;2024;10;1,46;2,767123287671234
CSSI;2024;11;1,558960692871419;2,025641025641024
CSSI;2024;12;1,7388781431334623;1,8390804597701158
CSSI;2025;1;1,3839285714285714;2,657142857142857
CSSI;2025;2;1,3213046495489245;1,2058823529411773
CSSI;2025;3;1,7083333333333333;1,8780487804878043
CSSI;2025;4;1,4447592067988668;2,3970588235294117
CSSI;2025;5;1,2960932145305004;3,2786885245901636
CSSI;2025;6;1,3972602739726028;0,1176470588235286
CSSI;2025;7;1,3564993564993566;0,5441176470588243
CSSI;2025;8;1,6074074074074074;-1,0857142857142852
CSSI;2025;9;1,2665406427221173;0,9850746268656707
CSSI;2025;10;1,2766821345707657;1,5915492957746484
CSSI;2025;11;1,1517367458866545;2,603174603174602
CSSI;2025;12;1,2025862068965518;3,1428571428571423
HAC;2022;1;2,6519174041297937;4,12807881773399
HAC;2022;2;2,4285044538209095;3,8756756756756765
HAC;2022;3;2,4014942980731417;3,791878172588832
HAC;2022;4;2,574626865671642;3,1062801932367154
HAC;2022;5;3,179806918744972;2,772549019607843
HAC;2022;6;3,2572877059569074;2,5603112840466924
HAC;2022;7;3,131958762886598;2,648979591836734
HAC;2022;8;3,1223021582733814;2,646825396825397
HAC;2022;9;2,581913499344692;1,121827411167513
HAC;2022;10;3,0835038886614816;1,246913580246914
HAC;2022;11;2,3995077932731745;3,312820512820512
HAC;2022;12;3,145476772616137;2,224899598393574
HAC;2023;1;2,523543495610535;2,524509803921569
HAC;2023;2;2,7175043327556327;2,4419642857142856
HAC;2023;3;3,876626101552665;1,1711409395973156
HAC;2023;4;3,2076253626191464;1,6937984496124037
HAC;2023;5;3,267700875099443;1,9018867924528298
HAC;2023;6;3,3753046303818035;1,7184115523465702
HAC;2023;7;3,2650602409638556;1,6826568265682662
HAC;2023;8;3,4612261469752337;0,8945454545454545
HAC;2023;9;3,448415922014622;1,4310954063604235
HAC;2023;10;3,370355885803676;1,532374100719425
HAC;2023;11;2,843888664784187;2,2468085106382976
HAC;2023;12;3,214006259780908;1,8264150943396222
HAC;2024;1;3,3478977741137674;1,6679389312977098
HAC;2024;2;3,5532631578947367;1,570446735395189
HAC;2024;3;3,7409591194968552;1,3876221498371342
HAC;2024;4;4,162070428510819;0,9021406727828746
HAC;2024;5;3,8395061728395063;0,858520900321543
HAC;2024;6;3,436988543371522;1,2035714285714287
HAC;2024;7;3,565612648221344;1,2336769759450166
HAC;2024;8;3,9527744982290436;1,37962962962963
HAC;2024;9;3,5833673053403996;0,9658703071672352
HAC;2024;10;3,9790679304897316;0,7876923076923078
HAC;2024;11;4,019488428745432;0,5212121212121209
HAC;2024;12;3,7024291497975708;1,047457627118644
HAC;2025;1;3,9432;0,871069182389937
HAC;2025;2;3,330449826989619;0,7527272727272729
HAC;2025;3;3,902182385035074;0,43343653250774006
HAC;2025;4;3,9385474860335195;0,3039513677811548
HAC;2025;5;3,971875;0,4634146341463416
HAC;2025;6;3,6778846153846154;0,43464052287581717
HAC;2025;7;3,9384255650818396;0,26687116564417185
HAC;2025;8;3,72815158546017;0,43729903536977505
HAC;2025;9;3,7185125949620152;0,27741935483870966
HAC;2025;10;4,0419230769230765;0,2802359882005903
HAC;2025;11;3,5947970043358297;0,49013157894736803
HAC;2025;12;3,4547842401500937;0,7744107744107745
HCM;2022;1;0,09523809523809523;48,250000000000014
HCM;2022;2;0,09523809523809523;61,250000000000014
HCM;2022;3;0,16666666666666666;36,714285714285715
HCM;2022;4;0,09523809523809523;58,00000000000001
HCM;2022;5;0,16527037319116528;40,142857142857146
HCM;2022;6;0,08771929824561403;102,24999999999997
HCM;2022;7;0,08695652173913043;105,24999999999997
HCM;2022;8;0,07622950819672131;62,0
HCM;2022;9;0,15789473684210525;18,166666666666657
HCM;2022;10;0,13157894736842105;12,600000000000001
HCM;2022;11;0,02631578947368421;45,000000000000014
HCM;2022;12;0,13157894736842105;15,999999999999993
HCM;2023;1;0,10526315789473684;12,499999999999986
HCM;2023;2;0,02631578947368421;94,00000000000004
HCM;2023;3;0,028130671506352088;-4,00000000000002
HCM;2023;4;0,05263157894736842;34,49999999999998
HCM;2023;5;0,10526315789473684;21,500000000000007
HCM;2023;6;0,13157894736842105;10,600000000000009
HCM;2023;7;0,05263157894736842;11,50000000000001
HCM;2023;8;0,13157894736842105;2,600000000000011
HCM;2023;9;0,10526315789473684;25,999999999999986
HCM;2023;10;0,10526315789473684;21,500000000000007
HCM;2023;11;0,21052631578947367;8,874999999999996
HCM;2023;12;0,10526315789473684;43,75000000000001
HCM;2024;1;0,07894736842105263;78,66666666666667
HCM;2024;2;0,18421052631578946;18,714285714285715
HCM;2024;3;0,5467791411042945;11,565217391304351
HCM;2024;4;1,144578313253012;6,385964912280702
HCM;2024;5;0,6818181818181818;6,533333333333332
HCM;2024;6;0,29545454545454547;12,692307692307692
HCM;2024;7;0,33748055987558323;9,214285714285715
HCM;2024;8;0,07894736842105263;20,66666666666669
HCM;2024;9;0,13157894736842105;34,800000000000004
HCM;2024;10;0,05263157894736842;82,50000000000003
HCM;2024;11;0,13157894736842105;19,00000000000001
HCM;2024;12;0,2483974358974359;23,9
HCM;2025;1;0,09323308270676692;79,99999999999999
HCM;2025;2;0,2337228714524207;24,599999999999994
HCM;2025;3;0,1745776347546259;27,142857142857142
HCM;2025;4;0,23980815347721823;18,400000000000006
HCM;2025;5;0,12542144302090358;41,00000000000001
HCM;2025;6;0,14705882352941177;23,14285714285715
HCM;2025;7;0,2516914749661705;9,499999999999995
HCM;2025;8;0,1836734693877551;9,555555555555552
HCM;2025;9;0,3958333333333333;9,789473684210524
HCM;2025;10;0,24441524310118265;17,58333333333333
HCM;2025;11;0,54;7,518518518518516
HCM;2025;12;0,36;13,111111111111107
HEM;2022;1;2,2119735468151758;2,1024390243902444
HEM;2022;2;1,5353057199211044;4,151079136690647
HEM;2022;3;1,3231707317073171;8,546218487394958
HEM;2022;4;1,5342349957734573;5,75206611570248
HEM;2022;5;1,7769925402434237;3,5753424657534247
HEM;2022;6;2,2666087711680416;1,7471264367816093
HEM;2022;7;2,2465753424657535;1,9634146341463408
HEM;2022;8;1,6304271090716556;4,154362416107383
HEM;2022;9;1,9810326659641728;2,648936170212765
HEM;2022;10;1,743144741409233;2,456790123456789
HEM;2022;11;1,8422889043963713;2,4886363636363638
HEM;2022;12;2,1542738012508686;2,955
HEM;2023;1;1,758473064573671;4,2264150943396235
HEM;2023;2;1,7115461446264482;3,15032679738562
HEM;2023;3;2,0039904229848364;0,37037037037037024
HEM;2023;4;1,7201834862385321;1,5666666666666658
HEM;2023;5;1,7576699029126213;1,232876712328766
HEM;2023;6;1,9652244237767893;2,191358024691359
HEM;2023;7;1,5928376800311406;1,9696969696969688
HEM;2023;8;2,121177370030581;2,111731843575418
HEM;2023;9;1,6414863209473254;1,8059701492537312
HEM;2023;10;1,7832489645651173;1,7840000000000003
HEM;2023;11;1,8287575616565845;1,816793893129772
HEM;2023;12;1,7502030869212022;2,4460431654676267
HEM;2024;1;2,6886102403343783;1,6385542168674705
HEM;2024;2;3,3478661344795824;1,3617021276595749
HEM;2024;3;3,8387002341920375;1,0330969267139476
HEM;2024;4;3,511331884507917;1,254641909814324
HEM;2024;5;2,7460207612456746;1,6210937499999998
HEM;2024;6;1,8392523364485982;2,3048780487804885
HEM;2024;7;1,892130518234165;1,8742138364779883
HEM;2024;8;1,6886679920477137;1,7518248175182483
HEM;2024;9;1,9063136456211813;2,782051282051283
HEM;2024;10;1,7844382691544263;2,5793103448275865
HEM;2024;11;1,8159509202453987;3,3310810810810807
HEM;2024;12;1,7031667302556277;5,076388888888889
HEM;2025;1;1,678530859522908;3,6223776223776216
HEM;2025;2;1,6142175986129172;3,4436090225563913
HEM;2025;3;1,8517958412098299;2,4556962025316467
HEM;2025;4;2,0890688259109313;1,540697674418604
HEM;2025;5;2,106911034746086;1,7078651685393258
HEM;2025;6;1,8681318681318682;2,4176470588235293
HEM;2025;7;1,984;2,7608695652173916
HEM;2025;8;1,7499144714334587;2,927272727272728
HEM;2025;9;1,914008321775312;3,467391304347826
HEM;2025;10;2,1478571428571427;3,18041237113402
HEM;2025;11;1,7419354838709677;3,4444444444444438
HEM;2025;12;1,993946273174423;3,91764705882353
HIJPII;2022;1;3,3505128846634977;0,46296296296296297
HIJPII;2022;2;3,0485492674518815;0,8153034300791553
HIJPII;2022;3;3,764857881136951;0,2166344294003868
HIJPII;2022;4;3,3431734317343174;0,9271523178807948
HIJPII;2022;5;3,3545048223947305;0,7239130434782604
HIJPII;2022;6;3,002191380569759;0,7420924574209242
HIJPII;2022;7;3,026936026936027;0,512315270935961
HIJPII;2022;8;3,017425939756037;2,1253196930946294
HIJPII;2022;9;3,097322348094748;2,2144638403990022
HIJPII;2022;10;2,9985232586758555;2,346055979643765
HIJPII;2022;11;3,316326530612245;1,6923076923076927
HIJPII;2022;12;2,7912586577501792;2,5809018567639264
HIJPII;2023;1;2,451473759884975;3,078787878787879
HIJPII;2023;2;3,1932342388518706;1,2022471910112358
HIJPII;2023;3;4,018097334311568;-0,2773584905660382
HIJPII;2023;4;3,488372093023256;0,6357894736842109
HIJPII;2023;5;3,5265124970801214;0,4989733059548252
HIJPII;2023;6;2,951552795031056;0,8510101010101007
HIJPII;2023;7;3,337550728097398;0,35033259423503277
HIJPII;2023;8;2,801836636056066;1,4438502673796796
HIJPII;2023;9;2,998500749625187;1,3824999999999996
HIJPII;2023;10;2,7029556650246307;2,655367231638418
HIJPII;2023;11;2,609032258064516;2,4569732937685465
HIJPII;2023;12;2,567507963734379;3,4822485207100584
HIJPII;2024;1;2,3805201177625124;3,993610223642173
HIJPII;2024;2;3,072601334017445;1,8934624697336566
HIJPII;2024;3;4,272458494428019;0,06765676567656739
HIJPII;2024;4;4,281696742441997;-0,18719211822660062
HIJPII;2024;5;3,632470588235294;0,7791164658634542
HIJPII;2024;6;2,9977516862353233;1,6324999999999994
HIJPII;2024;7;2,984162336055432;1,987146529562982
HIJPII;2024;8;2,6949826130153998;2,5028571428571422
HIJPII;2024;9;3,0;1,4784810126582277
HIJPII;2024;10;2,979281078382426;2,2961038961038955
HIJPII;2024;11;2,7801047120418847;2,8926553672316384
HIJPII;2024;12;3,1484375;2,598014888337469
HIJPII;2025;1;2,6814181543877296;3,433139534883721
HIJPII;2025;2;2,671814671814672;3,332369942196532
HIJPII;2025;3;3,466699801192843;1,6866666666666672
HIJPII;2025;4;4,009422266303;0,3116883116883117
HIJPII;2025;5;4,113057696799813;-0,17605633802816867
HIJPII;2025;6;3,897210743801653;0,8409542743538766
HIJPII;2025;7;3,0695449844881075;2,804177545691905
HIJPII;2025;8;2,787204058624577;2,5987460815047028
HIJPII;2025;9;2,6803205699020483;3,0099667774086374
HIJPII;2025;10;2,9549239161642262;2,4548192771084336
HIJPII;2025;11;3,107142857142857;1,9310344827586212
HIJPII;2025;12;3,306548470117243;2,20911528150134
HJK;2022;1;2,33241066935078;3,9030100334448163
HJK;2022;2;1,9196787148594376;5,02510460251046
HJK;2022;3;2,3852695103552324;4,702317290552585
HJK;2022;4;2,433847048560628;4,301075268817205
HJK;2022;5;2,401067430356678;4,418487394957983
HJK;2022;6;2,348401323042999;3,825704225352112
HJK;2022;7;2,299560609976738;3,8101045296167237
HJK;2022;8;2,41657848324515;4,02262443438914
HJK;2022;9;2,539568345323741;3,444759206798867
HJK;2022;10;2,566599929336945;3,4167852062588895
HJK;2022;11;2,298327594687654;3,834670947030498
HJK;2022;12;2,5447212336892053;4,11271676300578
HJK;2023;1;2,4356339900882387;4,36
HJK;2023;2;2,509593452301087;2,555389221556886
HJK;2023;3;3,139697322467986;1,1468710089399747
HJK;2023;4;2,614347616754935;2,2237569060773477
HJK;2023;5;2,9721649484536083;2,117084826762246
HJK;2023;6;2,770700636942675;2,4840357598978287
HJK;2023;7;2,8804396092362343;2,2437275985663088
HJK;2023;8;3,0770570309098826;2,080043859649123
HJK;2023;9;2,6300427394975503;2,517241379310345
HJK;2023;10;2,8942103667778114;2,333333333333334
HJK;2023;11;2,8268514687629294;2,522502744237103
